,Participant,ENSG00000124813.20,ENSG00000159216.18,ENSG00000001167.14
51,pt-kfq3ys2p,1065.86162766757,2637.89976208746,1368.46293087359
52,pt-je5wsdak,789.112199481097,2489.66721762403,1186.44956188303
53,pt-qgzbdfr3,1288.6618146313,3023.01319093407,1656.59132993066
54,pt-f0em9ve3,638.222056248484,2829.40111036569,1139.37985006026
55,pt-rcfty64q,1057.69144150457,2053.93925397731,1367.03877919057
56,pt-685e0227,2088.11598123523,3341.22718128542,2113.30738693231
57,pt-6s6z3vw8,752.795120340796,2581.55055218468,1332.65355867918
58,pt-6sfzks4p,821.2701729503,2364.52505164464,1200.92278366124
59,pt-ghdy70ma,1470.13448348791,2904.52995684575,1799.88550676875
60,pt-rxnzn5d2,701.685284851198,2752.87388792148,1714.98965279432
61,pt-57c8w977,1287.61936412586,3324.25732201098,1525.63040408136
62,pt-x9pk1vsj,1083.56469248625,3575.57674291818,1432.37071120495
63,pt-whzqn6dw,385.557490577005,2182.66137417899,1216.99398323945
64,pt-xv3t5f0c,374.945200413546,3064.18073442637,1163.09212911345
65,pt-nr0yj6p0,1048.58209423641,1606.97610199231,1156.70925468877
66,pt-d6r3a0xj,1058.68308818672,2173.99742455164,1374.27115890539
67,pt-kcqj8vt9,1311.14935390852,2392.68402247561,1137.63914328935
68,pt-t4wry43s,1084.80077282928,2109.59537061138,1341.4776828725
69,pt-qmtqd2sg,1147.14746025926,1837.82136336252,1212.28825248636
70,pt-45agh02s,1091.77315455972,2304.9871744364,1284.04543063228
71,pt-gygvjshk,1064.06111315082,2408.37958845303,1408.33167480456
72,pt-08qxc61x,918.429814568972,2466.56754212282,1231.54367744688
73,pt-cs9v0mfs,626.09889036421,3718.78983897297,1469.98445135127
74,pt-bn2srbff,657.53100436885,2490.48367250315,1526.34017398032
75,pt-evsehtw3,723.128317250894,2632.20583339263,1478.16089713476
76,pt-mr8sr4k1,1235.68968850592,3260.76602955331,1554.79348385814
77,pt-btyqwpfp,1038.1389986663,2419.98550209607,1378.13513017395
78,pt-dp8gpg6w,883.583581787253,3125.69203296852,1417.23438726332
79,pt-gpagdcyp,956.340165737299,2241.85162964601,1024.53609815887
80,pt-b9f5pywx,948.807735188797,2632.98579178211,1407.65030055601
81,pt-z8v7r81t,1219.52872139715,2469.68923466567,1135.22790071513
82,pt-s3evgjbn,1562.39410955897,2050.70417151585,1715.30825157558
83,pt-2hsxt4fb,1143.53279211646,1826.12213422141,1277.41110046061
84,pt-re3r388b,1138.3408897166,2306.37584288762,1487.19554806131
85,pt-d7zrcr69,1123.47322229183,2285.59151563971,1563.66518870877
86,pt-ge0ep8ah,713.517960487469,1345.29090767828,1096.43437315707
